Temperature[degC];Pressure[Pa];Saturation vapor pressure[Pa];Density[kg/m3];Specific enthalpy of liquid water[kJ/kg];Specific heat[kJ/kg*K];Volume heat capacity[kJ/m3];Dynamic viscosity[kg/m*s];Kinematic viscosity[m2/s]
0.00;101325;611;999.82;0.06;4.217;4216.10;0.001792;0.000001792
1.00;101325;657;999.89;4.28;4.213;4213.03;0.001731;0.000001731
2.00;101325;705;999.94;8.49;4.210;4210.12;0.001674;0.000001674
3.00;101325;757;999.98;12.70;4.207;4207.36;0.001620;0.000001620
4.00;101325;813;1000.00;16.90;4.205;4204.74;0.001569;0.000001569
5.00;101325;872;1000.00;21.11;4.202;4202.26;0.001520;0.000001520
6.00;101325;935;999.99;25.31;4.200;4199.89;0.001473;0.000001473
7.00;101325;1001;999.96;29.51;4.198;4197.63;0.001429;0.000001429
8.00;101325;1072;999.91;33.70;4.196;4195.47;0.001386;0.000001386
9.00;101325;1147;999.85;37.90;4.194;4193.40;0.001346;0.000001346
10.00;101325;1227;999.77;42.09;4.192;4191.42;0.001308;0.000001308
11.00;101325;1312;999.68;46.28;4.191;4189.51;0.001271;0.000001271
12.00;101325;1402;999.58;50.47;4.189;4187.67;0.001236;0.000001237
13.00;101325;1497;999.46;54.66;4.188;4185.89;0.001202;0.000001203
14.00;101325;1597;999.33;58.85;4.187;4184.16;0.001170;0.000001171
15.00;101325;1704;999.19;63.04;4.186;4182.49;0.001139;0.000001140
16.00;101325;1817;999.03;67.22;4.185;4180.86;0.001109;0.000001110
17.00;101325;1936;998.86;71.41;4.184;4179.27;0.001081;0.000001082
18.00;101325;2063;998.68;75.59;4.183;4177.72;0.001054;0.000001055
19.00;101325;2196;998.49;79.77;4.182;4176.20;0.001028;0.000001030
20.00;101325;2337;998.29;83.95;4.182;4174.70;0.001003;0.000001005
21.00;101325;2486;998.08;88.14;4.181;4173.23;0.000979;0.000000981
22.00;101325;2642;997.86;92.32;4.181;4171.78;0.000955;0.000000957
23.00;101325;2808;997.62;96.50;4.180;4170.34;0.000933;0.000000935
24.00;101325;2982;997.38;100.68;4.180;4168.92;0.000911;0.000000913
25.00;101325;3166;997.13;104.86;4.180;4167.51;0.000891;0.000000894
26.00;101325;3360;996.86;109.04;4.179;4166.11;0.000871;0.000000874
27.00;101325;3564;996.59;113.22;4.179;4164.71;0.000852;0.000000855
28.00;101325;3779;996.31;117.39;4.179;4163.31;0.000833;0.000000836
29.00;101325;4004;996.02;121.57;4.179;4161.92;0.000815;0.000000818
30.00;101325;4242;995.71;125.75;4.178;4160.53;0.000798;0.000000801
31.00;101325;4491;995.41;129.93;4.178;4159.13;0.000781;0.000000785
32.00;101325;4754;995.09;134.11;4.178;4157.73;0.000765;0.000000769
33.00;101325;5029;994.76;138.29;4.178;4156.33;0.000749;0.000000753
34.00;101325;5318;994.43;142.47;4.178;4154.92;0.000734;0.000000738
35.00;101325;5622;994.08;146.64;4.178;4153.51;0.000720;0.000000724
36.00;101325;5940;993.73;150.82;4.178;4152.08;0.000705;0.000000709
37.00;101325;6274;993.37;155.00;4.178;4150.65;0.000692;0.000000697
38.00;101325;6624;993.00;159.18;4.178;4149.20;0.000678;0.000000683
39.00;101325;6991;992.63;163.36;4.179;4147.74;0.000666;0.000000671
40.00;101325;7375;992.25;167.54;4.179;4146.28;0.000653;0.000000658
41.00;101325;7777;991.86;171.71;4.179;4144.80;0.000641;0.000000646
42.00;101325;8198;991.46;175.89;4.179;4143.30;0.000629;0.000000634
43.00;101325;8639;991.05;180.07;4.179;4141.80;0.000618;0.000000624
44.00;101325;9100;990.64;184.25;4.179;4140.28;0.000607;0.000000613
45.00;101325;9582;990.22;188.43;4.180;4138.75;0.000596;0.000000602
46.00;101325;10085;989.80;192.61;4.180;4137.20;0.000586;0.000000592
47.00;101325;10612;989.36;196.79;4.180;4135.64;0.000576;0.000000582
48.00;101325;11161;988.92;200.97;4.180;4134.06;0.000566;0.000000572
49.00;101325;11735;988.47;205.15;4.181;4132.47;0.000556;0.000000562
50.00;101325;12335;988.02;209.33;4.181;4130.87;0.000547;0.000000554
51.00;101325;12960;987.56;213.51;4.181;4129.25;0.000538;0.000000545
52.00;101325;13612;987.09;217.69;4.182;4127.61;0.000529;0.000000536
53.00;101325;14292;986.62;221.88;4.182;4125.97;0.000521;0.000000528
54.00;101325;15001;986.14;226.06;4.182;4124.30;0.000512;0.000000519
55.00;101325;15740;985.65;230.24;4.183;4122.63;0.000504;0.000000511
56.00;101325;16510;985.16;234.42;4.183;4120.94;0.000496;0.000000503
57.00;101325;17312;984.66;238.61;4.183;4119.24;0.000489;0.000000497
58.00;101325;18146;984.16;242.79;4.184;4117.52;0.000481;0.000000489
59.00;101325;19015;983.64;246.97;4.184;4115.79;0.000474;0.000000482
60.00;101325;19919;983.13;251.16;4.185;4114.05;0.000467;0.000000475
61.00;101325;20859;982.60;255.34;4.185;4112.30;0.000460;0.000000468
62.00;101325;21837;982.07;259.53;4.186;4110.53;0.000453;0.000000461
63.00;101325;22854;981.54;263.72;4.186;4108.75;0.000447;0.000000455
64.00;101325;23910;981.00;267.90;4.187;4106.97;0.000440;0.000000449
65.00;101325;25008;980.45;272.09;4.187;4105.17;0.000434;0.000000443
66.00;101325;26148;979.90;276.28;4.188;4103.36;0.000428;0.000000437
67.00;101325;27332;979.34;280.46;4.188;4101.54;0.000422;0.000000431
68.00;101325;28561;978.78;284.65;4.189;4099.71;0.000416;0.000000425
69.00;101325;29837;978.21;288.84;4.189;4097.88;0.000410;0.000000419
70.00;101325;31161;977.63;293.03;4.190;4096.03;0.000404;0.000000413
71.00;101325;32533;977.05;297.22;4.190;4094.18;0.000399;0.000000408
72.00;101325;33957;976.47;301.41;4.191;4092.31;0.000394;0.000000403
73.00;101325;35433;975.88;305.60;4.192;4090.45;0.000388;0.000000398
74.00;101325;36963;975.28;309.79;4.192;4088.57;0.000383;0.000000393
75.00;101325;38548;974.68;313.99;4.193;4086.69;0.000378;0.000000388
76.00;101325;40190;974.08;318.18;4.194;4084.80;0.000373;0.000000383
77.00;101325;41890;973.46;322.37;4.194;4082.91;0.000369;0.000000379
78.00;101325;43650;972.85;326.57;4.195;4081.01;0.000364;0.000000374
79.00;101325;45473;972.23;330.76;4.196;4079.11;0.000359;0.000000369
80.00;101325;47359;971.60;334.96;4.196;4077.20;0.000355;0.000000365
81.00;101325;49310;970.97;339.16;4.197;4075.29;0.000351;0.000000361
82.00;101325;51328;970.33;343.35;4.198;4073.38;0.000346;0.000000357
83.00;101325;53415;969.69;347.55;4.199;4071.46;0.000342;0.000000353
84.00;101325;55572;969.04;351.75;4.200;4069.54;0.000338;0.000000349
85.00;101325;57803;968.39;355.95;4.200;4067.62;0.000334;0.000000345
86.00;101325;60107;967.73;360.15;4.201;4065.70;0.000330;0.000000341
87.00;101325;62488;967.07;364.35;4.202;4063.78;0.000326;0.000000337
88.00;101325;64947;966.41;368.56;4.203;4061.85;0.000322;0.000000333
89.00;101325;67486;965.74;372.76;4.204;4059.93;0.000319;0.000000330
90.00;101325;70108;965.06;376.96;4.205;4058.00;0.000315;0.000000326
91.00;101325;72814;964.38;381.17;4.206;4056.08;0.000311;0.000000322
92.00;101325;75607;963.70;385.38;4.207;4054.15;0.000308;0.000000320
93.00;101325;78488;963.01;389.58;4.208;4052.23;0.000304;0.000000316
94.00;101325;81460;962.31;393.79;4.209;4050.31;0.000301;0.000000313
95.00;101325;84525;961.62;398.00;4.210;4048.39;0.000298;0.000000310
96.00;101325;87685;960.91;402.21;4.211;4046.47;0.000295;0.000000307
97.00;101325;90943;960.20;406.42;4.212;4044.55;0.000291;0.000000303
98.00;101325;94301;959.49;410.64;4.213;4042.64;0.000288;0.000000300
99.00;101325;97760;958.78;414.85;4.214;4040.73;0.000285;0.000000297
100.00;101325;101325;958.05;419.06;4.216;4038.82;0.000282;0.000000294
